created,url,wbanno,lst_date,date,lon,lat,temp,max_temp,min_temp,precip,rad,max_rad,min_rad,rh,hours_included
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100125,1/25/10,-81.78,40.37,4,8.6,-1.4,4.2,48,286,0,84,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100126,1/26/10,-81.78,40.37,-4.4,-1.6,-5.8,3.6,76,394,0,76,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100127,1/27/10,-81.78,40.37,-4.3,-1.4,-7,0,111,503,0,68,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100128,1/28/10,-81.78,40.37,-5.6,-0.7,-12.2,2.3,121,638,0,71,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100129,1/29/10,-81.78,40.37,-12.8,-10.4,-15.2,0,101,530,0,64,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100130,1/30/10,-81.78,40.37,-9.8,-7,-11.6,0,109,555,0,57,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100131,1/31/10,-81.78,40.37,-8.7,-3,-14.5,0,147,576,0,70,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100201,2/1/10,-81.78,40.37,-5.5,-1.5,-10.4,0,114,521,0,70,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100202,2/2/10,-81.78,40.37,-1.4,1.8,-4.6,0,69,341,0,57,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100203,2/3/10,-81.78,40.37,-0.3,0.7,-1.2,0,27,177,0,77,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100204,2/4/10,-81.78,40.37,-1,1.5,-4.2,0,94,389,0,76,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100205,2/5/10,-81.78,40.37,0,1.3,-0.6,11.9,17,82,0,76,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100206,2/6/10,-81.78,40.37,-4.5,-0.1,-9.3,4.2,99,523,0,85,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100207,2/7/10,-81.78,40.37,-8.4,-6.6,-10,0,97,385,0,79,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100208,2/8/10,-81.78,40.37,-10.3,-5.2,-16.3,0,164,656,0,83,24
